;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
588;Сибирский государственный университет геосистем и технологий;г. Новосибирск (Новосибирская обл.), ул. Плахотного, д. 10;priem.com@ssga.ru;(383) 343-37-01, 343-39-16;http://ssga.ru/;Биологические,Гуманитарные,Информационные,Географические,Экономические,Технические,Нефтяные;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Плахотного, д. 10;https://maps.google.com/maps/api/staticmap?center=54.986447%2C82.862916&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZF1ySxhkezdx08CVTqulFxPUVzI;54.986447;82.862916
589;Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева;660037, Сибирский федеральный округ, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, 31;priemsibsau@sibsau.ru;+7 (391) 262-95-96, +7 (391) 291-91-75 (приемная комиссия);https://www.sibsau.ru/;Авиационные,Аграрные,Архитектурные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Строительные,Технические,Психологические,Транспортные,Юридические;https://www.google.com/maps/search/660037, Сибирский федеральный округ, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, 31;https://maps.google.com/maps/api/staticmap?center=56.0127049%2C92.9742058&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=HpwDRezSRE4t-Jg5JBhGe9mWNDE;56.0127049;92.9742058
590;Сибирский государственный университет путей сообщения;г. Новосибирск (Новосибирская обл.), ул. Дуси Ковальчук, д. 191;public@stu.ru;(383) 328-05-85, 328-03-06;http://www.stu.ru/;Биологические,Гуманитарные,Информационные,Экономические,Педагогические,Строительные,Психологические,Транспортные,Юридические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Дуси Ковальчук, д. 191;https://maps.google.com/maps/api/staticmap?center=55.0657267%2C82.9265731&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=OJxMpP5oDHa7yyBUIBeJnEn7Q90;55.0657267;82.9265731
591;Сибирский государственный университет телекоммуникаций и информатики;г. Новосибирск, ул. Кирова, 86;"rectorat@sibsutis.ru; prikom@sibsutis.ru (ПК)";"(383) 269-82-02; (383) 269-82-28,  269-82-29 (ПК)";http://sibsutis.ru/;Биологические,Гуманитарные,Информационные,Технические;https://www.google.com/maps/search/г. Новосибирск, ул. Кирова, 86;https://maps.google.com/maps/api/staticmap?center=55.013925%2C82.950081&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=F10pbq09Q5UyQOdGlVVJr3CBQ-4;55.013925;82.950081
592;Сибирский институт бизнеса и информационных технологий;г.Омск, ул.24-я Северная 196 1;pk@sano.ru (ПК);"(3812) 62-59-89; (3812) 26-54-99 (ПК)";http://www.sibit.sano.ru/;Гуманитарные,Экономические,Психологические,Юридические;https://www.google.com/maps/search/г.Омск, ул.24-я Северная 196 1;https://maps.google.com/maps/api/staticmap?center=55.0222523%2C73.3906907&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Lg0WvwYcqn8WgToD-V5CAvoW_98;55.0222523;73.3906907
593;Сибирский институт управления Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Новосибирск (Новосибирская обл.), ул. Нижегородская, д. 6;pr-com@siu.ranepa.ru;+7 (383) 218-09-09;https://siu.ranepa.ru/;Гуманитарные,Экономические,Психологические,Юридические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Нижегородская, д. 6;https://maps.google.com/maps/api/staticmap?center=55.015639%2C82.935989&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=OBLbLPQ0mmGtAYvb1dwpvbDDS34;55.015639;82.935989
594;Сибирский университет потребительской кооперации;г. Новосибирск (Новосибирская обл.), пр-т К. Маркса, д. 26;d_select@sibupk.nsk.su;(383) 346-58-52, 3410-63-12;http://www.sibupk.su;Аграрные,Гуманитарные,Экономические,Педагогические,Сервиса,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), пр-т К. Маркса, д. 26;https://maps.google.com/maps/api/staticmap?center=54.9849116%2C82.90323805&zoom=15&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZrqVdP_lniCU46N9P8Jg7lJT610;54.9849116;82.90323805
595;Сибирский федеральный университет;г. Красноярск (Красноярский край), Свободный пр-т, д. 79;rector@sfu-kras.ru;(391) 244-82-13, 249-72-66;http://www.sfu-kras.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Спортивные,Строительные,Нефтяные,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Красноярск (Красноярский край), Свободный пр-т, д. 79;https://maps.google.com/maps/api/staticmap?center=56.0159281%2C92.7897629&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=nz33w28-cUyZVMweRi26b1UR1_U;56.0159281;92.7897629
596;Сибирский юридический университет;г. Омск (Омская обл.), ул. Короленко, д. 12;academy@omua.ru;(3812) 32-13-30;http://www.omui.ru;Юридические;https://www.google.com/maps/search/г. Омск (Омская обл.), ул. Короленко, д. 12;https://maps.google.com/maps/api/staticmap?center=54.9763891%2C73.3796948&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=u1RbnwqfnkIETqnfwa4by5U1OL4;54.9763891;73.3796948
597;Смоленская Православная Духовная Семинария;г. Смоленск (Смоленская обл.), ул. Тимирязева, д. 5;abitur.semin@yandex.ru;(4812) 39-42-76;http://www.smolensk-seminaria.ru;Вузы культуры;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), ул. Тимирязева, д. 5;https://maps.google.com/maps/api/staticmap?center=54.7897224%2C32.064457&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Mk6kprw2xXJRaWvNQZ1gstTZdMc;54.7897224;32.064457
598;Смоленская государственная академия физической культуры, спорта и туризма;г. Смоленск (Смоленская обл.), пр-т Гагарина, д. 23;smolakademsport@mail.ru;(4812) 62-89-59, 62-89-32;http://www.sgafkst.ru;Гуманитарные,Педагогические,Сервиса,Спортивные;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), пр-т Гагарина, д. 23;https://maps.google.com/maps/api/staticmap?center=54.768415%2C32.0475299&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=0Tmt5FkxGMIXLCQCZgpteo9F-8M;54.768415;32.0475299
599;Смоленская государственная сельскохозяйственная академия;г. Смоленск (Смоленская обл.), ул. Б. Советская, д. 10 2;priemsgsha@mail.ru;(481) 268-90-54, 238-75-98;http://www.sgsha.ru/;Аграрные,Биологические,Гуманитарные,Экономические,Медицинские,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), ул. Б. Советская, д. 10 2;https://maps.google.com/maps/api/staticmap?center=54.7849326%2C32.0534514&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=cDM57FNPASuMI1CYAF2j6SBQT3U;54.7849326;32.0534514
600;Смоленский государственный институт искусств;Смоленск, ул. Румянцева, д. 8;sgii@mail.ru;"(4812) 31-02-88; (4812) 31-74-47 (ПК)";http://www.sgii-smol.ru;Вузы культуры,Гуманитарные,Информационные;https://www.google.com/maps/search/Смоленск, ул. Румянцева, д. 8;https://maps.google.com/maps/api/staticmap?center=54.770277%2C32.072241&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=I4s33zy0mBlrSOhbEUxLkUeP8UE;54.770277;32.072241
601;Смоленский государственный медицинский университет Министерства здравоохранения Российской Федерации;г. Смоленск (Смоленская обл.), ул. Крупской, д. 28;priem@smolgmu.ru;(481) 261-08-47, 255-02-75;http://smolgmu.ru/;Биологические,Медицинские,Психологические;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), ул. Крупской, д. 28;https://maps.google.com/maps/api/staticmap?center=54.768957%2C32.0597141&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=O_kVDAUY235dX8flJoJ4MBGhWKI;54.768957;32.0597141
602;Смоленский государственный университет;г. Смоленск (Смоленская обл.), ул. Пржевальского, д. 4;rectorat@smolgu.ru;(4812) 38-31-57, 70-02-02;http://www.smolgu.ru;Архитектурные,Биологические,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Строительные,Психологические,Юридические;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), ул. Пржевальского, д. 4;https://maps.google.com/maps/api/staticmap?center=54.784326%2C32.046174&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9xp24wO3QtzpIZZVoK2VvoVp3F8;54.784326;32.046174
603;Смоленский областной казачий институт промышленных технологий и бизнеса (филиал МГУТУ);Смоленская область, г. Вязьма, ул. Ленина, 77;vyazma@vfmgutu.ru;(48131) 2-51-31;http://www.vfmgutu.ru;Гуманитарные,Информационные,Экономические,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/Смоленская область, г. Вязьма, ул. Ленина, 77;https://maps.google.com/maps/api/staticmap?center=55.2232978%2C34.3137735&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JLYMh_6nW3W7-8NEr6XYDb3EIzw;55.2232978;34.3137735
604;Смоленский филиал Национального исследовательского университета «МЭИ»;г. Смоленск (Смоленская обл.), Энергетический пр., д. 1;otborcom@sbmpei.ru;(481) 238-37-11, 239-11-56;http://www.sbmpei.ru;Информационные,Строительные,Технические,Транспортные;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), Энергетический пр., д. 1;https://maps.google.com/maps/api/staticmap?center=54.764357%2C32.03088&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NxuxwssyjbWc4m4crMVr8Ahrzxg;54.764357;32.03088
605;Смоленский филиал Российского экономического университета имени Г.В. Плеханова;г. Смоленск (Смоленская обл.), ул. Нормандия-Неман, д. 21;smolensk@rea.ru;8 (4812) 66-26-63;http://smolreu.ru/;Гуманитарные,Экономические,Пищевые,Юридические;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), ул. Нормандия-Неман, д. 21;https://maps.google.com/maps/api/staticmap?center=54.775841%2C32.01607&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Pbwcwi7kWQWtZwJp6BcHhojuP9A;54.775841;32.01607
606;Смоленский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Смоленск (Смоленская обл.), Кловская ул., д. 13;pk@smol.ranepa.ru;(4812) 24-01-60, 24-01-61;http://smol.ranepa.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), Кловская ул., д. 13;https://maps.google.com/maps/api/staticmap?center=54.777023%2C32.0008351&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DeJ_UfqrPGMkfHbtlZujx02p6oM;54.777023;32.0008351
607;Смоленский филиал Финансового университета при Правительстве Российской Федерации;г. Смоленск (Смоленская обл.), пр-т Гагарина, д. 22;smolensk@fa.ru;(4812)-35-88-99,35-89-33, 55-27-77;http://www.fa.ru/fil/smolensk/Pages/Home.aspx;Гуманитарные,Информационные,Экономические;https://www.google.com/maps/search/г. Смоленск (Смоленская обл.), пр-т Гагарина, д. 22;https://maps.google.com/maps/api/staticmap?center=54.768541%2C32.044781&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=OYlHo-FV74cjKHxcGT2wt3oP09M;54.768541;32.044781
608;Современный технический институт;г. Рязань (Рязанская обл.), ул. Новоселов, д. 35а;sti107@yandex.ru;(4912) 30-06-30;http://www.stirzn.ru;Архитектурные,Биологические,Информационные,Сервиса,Строительные,Технические,Транспортные;https://www.google.com/maps/search/г. Рязань (Рязанская обл.), ул. Новоселов, д. 35а;https://maps.google.com/maps/api/staticmap?center=54.6073547%2C39.8159917&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=haml4hQeCu3jvtke-zICp3uQbRs;54.6073547;39.8159917
609;Сочинский государственный университет;г. Сочи, ул. Пластунская, 94;"university@sutr.ru; pk@sutr.ru (ПК)";"(862) 264-85-03; (862) 264-91-21, 264-84-50 (ПК)";http://www.sutr.ru/;Архитектурные,Гуманитарные,Дизайна,Экономические,Педагогические,Сервиса,Спортивные,Строительные,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Сочи, ул. Пластунская, 94;https://maps.google.com/maps/api/staticmap?center=43.6203721%2C39.743327&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=UogD_J75izvrjW5RAdfGVFpZCLE;43.6203721;39.743327
610;Сочинский филиал Всероссийского государственного университета юстиции (РПА Минюста России);г. Сочи, ул.Дагомысская 42;emeil-sochirpa@mail.ru;261-16-29;"
Сайт
";Юридические;https://www.google.com/maps/search/г. Сочи, ул.Дагомысская 42;https://maps.google.com/maps/api/staticmap?center=43.5961729%2C39.7407408&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DEtXRTE4Jope3rOhToXbqYxdHSE;43.5961729;39.7407408
611;Сочинский филиал Российского университета дружбы народов;г. Сочи (Краснодарский край), ул. Куйбышева, д. 32;sfrudn@rambler.ru;(8622) 41-10-43;http://www.rudn-sochi.ru/;Аграрные,Биологические,Гуманитарные,Экономические,Медицинские,Юридические;https://www.google.com/maps/search/г. Сочи (Краснодарский край), ул. Куйбышева, д. 32;https://maps.google.com/maps/api/staticmap?center=43.4335161%2C39.9178886&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=gPNLUmb3vljgU0JfyW0j6drtgiE;43.4335161;39.9178886
612;Средне-Волжский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России);г. Саранск (Мордовия респ.), ул. Федосеенко, д. 6;rpa_saransk@mail.ru;(8342) 33-02-57, 35-81-80, 24-05-23;https://saransk2.rpa-mu.ru;Юридические;https://www.google.com/maps/search/г. Саранск (Мордовия респ.), ул. Федосеенко, д. 6;https://maps.google.com/maps/api/staticmap?center=54.1930752%2C45.1844766&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QgcyJe9j7v_Y8guo1Zg9bqPrFJI;54.1930752;45.1844766
613;Среднерусский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;г. Орел (Орловская обл.), Бульвар Победы, д. 5А;pk-ofranxigs@yandex.ru;(4862) 71-49-10, 8(903) 881-51-11;http://orel.ranepa.ru/;Гуманитарные,Информационные,Экономические,Психологические,Юридические;https://www.google.com/maps/search/г. Орел (Орловская обл.), Бульвар Победы, д. 5А;https://maps.google.com/maps/api/staticmap?center=52.972626%2C36.057704&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZlV6xDs2MeTu1DKj1g_vuezleXI;52.972626;36.057704
614;Сретенская духовная семинария Русской Православной Церкви;Москва, ул. Большая Лубянка, 19, с. 3;kancsds@sdsmp.ru;+7 (495) 623-34-44;http://sdsmp.ru/;Вузы культуры;https://www.google.com/maps/search/Москва, ул. Большая Лубянка, 19, с. 3;https://maps.google.com/maps/api/staticmap?center=55.76532%2C37.630018&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2S9vlIVhlqfDNaIGb0S5n6ouafo;55.76532;37.630018
615;Ставропольский государственный аграрный университет;г. Ставрополь (Ставропольский край), Зоотехнический пер., д. 12;inf@stgau.ru;(8652) 35-22-82, 35-22-83;http://www.stgau.ru;Аграрные,Архитектурные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Сервиса,Строительные,Транспортные,Пищевые;https://www.google.com/maps/search/г. Ставрополь (Ставропольский край), Зоотехнический пер., д. 12;https://maps.google.com/maps/api/staticmap?center=45.0375965%2C41.9607332&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=J8FOVKdxnjR23mgkn_c0cFZnC_E;45.0375965;41.9607332
616;Ставропольский государственный медицинский университет;г. Ставрополь (Ставропольский край), ул. Мира, д. 310;postmaster@stgma.ru;(8652) 35-23-31;http://www.stgma.ru;Биологические,Экономические,Медицинские,Педагогические,Психологические;https://www.google.com/maps/search/г. Ставрополь (Ставропольский край), ул. Мира, д. 310;https://maps.google.com/maps/api/staticmap?center=45.035882%2C41.9593121&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=33pSnP9_4Lt3OT4A_5mSP1op2_U;45.035882;41.9593121
617;Ставропольский государственный педагогический институт;г. Ставрополь (Ставропольский край), ул. Ленина, д. 417а;mail@sspi.ru;(8652) 56-39-70, 56-32-82, 56-08-26;http://www.sspi.ru;Вузы культуры,Педагогические,Психологические;https://www.google.com/maps/search/г. Ставрополь (Ставропольский край), ул. Ленина, д. 417а;https://maps.google.com/maps/api/staticmap?center=45.04317%2C41.9189822&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=rszUQAkPsMGSciLBXwEqt49yWes;45.04317;41.9189822
618;Ставропольский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Ставрополь (Ставропольский край), ул. Лермонтова, д. 189;sfranhgs@mail.ru;(8652) 37-13-07, 23-36-00;http://www.stav.ranepa.ru/;Гуманитарные,Юридические;https://www.google.com/maps/search/г. Ставрополь (Ставропольский край), ул. Лермонтова, д. 189;https://maps.google.com/maps/api/staticmap?center=45.035143%2C41.9692095&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NTpI9APRGakhsI9I1M1cZuO6WOk;45.035143;41.9692095
619;Старооскольский технологический институт им. А.А. Угарова (филиал) Национального исследовательского технологического университета «МИСиС»;г. Старый Оскол (Белгородская обл.), мкр. Макаренко, д. 42;direktor@sti-misis.ru;(4725) 32-43-61, 45-12-12 (приемная комиссия);http://sf-misis.ru;Гуманитарные,Информационные,Экономические,Строительные,Технические,Транспортные;https://www.google.com/maps/search/г. Старый Оскол (Белгородская обл.), мкр. Макаренко, д. 42;https://maps.google.com/maps/api/staticmap?center=51.3132775%2C37.8840275&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=m6K1ZqxLbrgjbs-LzLi_uBUq-MY;51.3132775;37.8840275
620;Старооскольский филиал МГРИ-РГГРУ;Старый Оскол, ул. Ленина, д. 14 13;sof-sfrsgpa@yandex.ru;(4725) 22-03-74 (ПК);http://sfrsgpa.ru;Географические,Экономические,Технические,Нефтяные;https://www.google.com/maps/search/Старый Оскол, ул. Ленина, д. 14 13;https://maps.google.com/maps/api/staticmap?center=51.2937667%2C37.8375393&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=a_o97k4pnIviaEFL7KHS5VQQC50;51.2937667;37.8375393
621;Ступинский филиал Московского авиационного института (национального исследовательского университета);г. Ступино (Московская обл., Ступинский р-н), ул. Пристанционная, д. 4;sf-mai@mai.ru;(496) 644-72-87, 644-72-87;http://www.sfmati.ru/;Авиационные,Гуманитарные,Информационные,Технические;https://www.google.com/maps/search/г. Ступино (Московская обл., Ступинский р-н), ул. Пристанционная, д. 4;https://maps.google.com/maps/api/staticmap?center=54.9041133%2C38.071718&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=VyuvdWZJ3ajIKNB7FWjOQ-nvvtc;54.9041133;38.071718
622;Сызранский филиал Самарского государственного технического университета;г. Сызрань (Самарская обл.), ул. Советская, д. 45;nauka@sstu.syzran.ru;(8464) 98-60-68;http://sfsamgtu.com/;Биологические,Информационные,Экономические,Технические,Транспортные;https://www.google.com/maps/search/г. Сызрань (Самарская обл.), ул. Советская, д. 45;https://maps.google.com/maps/api/staticmap?center=53.152217%2C48.465912&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=96nw0aqN9-wHNa4LWH3Uh102ReA;53.152217;48.465912
623;Таганрогский институт экономики и управления;"г. Таганрог, ул. Петровская, 45; г. Таганрог, пер. Тургеневский, 13 (ПК)";"info@tmei.ru; priem@tmei.ru";"(8634) 38-33-60 ; (8634) 36-20-04 (ПК)";http://www.tmei.ru/;Гуманитарные,Экономические,Психологические,Юридические;"https://www.google.com/maps/search/г. Таганрог, ул. Петровская, 45; г. Таганрог, пер. Тургеневский, 13 (ПК)";https://maps.google.com/maps/api/staticmap?center=47.2114171%2C38.9342883&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JGX_KSDezZbVrtDGa51T1FkpWiY;47.2114171;38.9342883
624;Таганрогский филиал Российского нового университета;г. Таганрог (Ростовская обл.), ул. Александровская, д. 47;taganrog@rosnou.ru;(8634) 314-585, 311-979;http://www.tfrosnou.ru;Экономические,Юридические;https://www.google.com/maps/search/г. Таганрог (Ростовская обл.), ул. Александровская, д. 47;https://maps.google.com/maps/api/staticmap?center=47.210075%2C38.92715&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=D3XDrzmWU_I11PFNVncMJUSlFEA;47.210075;38.92715
625;Тамбовский филиал Российского нового университета;г. Тамбов (Тамбовская обл.), ул. Гастелло, д. 32А;tambov@rosnou.ru;(4752) 77-10-62, 44-46-09, 77-10-65;http://www.tambov-rosnou.ru;Экономические,Юридические;https://www.google.com/maps/search/г. Тамбов (Тамбовская обл.), ул. Гастелло, д. 32А;https://maps.google.com/maps/api/staticmap?center=52.716564%2C41.4135231&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DqeVLQ5hZsizTWcTMThWnhG_XDg;52.716564;41.4135231
626;Тамбовский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Тамбов (Тамбовская обл.), ул. Бастионная, д. 16;tambovranhgs_pk@mail.ru;(4752) 47-59-61, 56-06-17;http://www.tmb.ranepa.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Тамбов (Тамбовская обл.), ул. Бастионная, д. 16;https://maps.google.com/maps/api/staticmap?center=52.7334951%2C41.3871979&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=oMfnBIWbumLk-_oGmUfDLBKT5IM;52.7334951;41.3871979
627;Тарский филиал Омского государственного педагогического университета;г. Тара (Омская обл., Тарский р-н), ул. Школьная, д. 69;tfomgpu@mail.ru;(38171) 2-62-32;http://tara.omgpu.ru;Педагогические,Психологические;https://www.google.com/maps/search/г. Тара (Омская обл., Тарский р-н), ул. Школьная, д. 69;https://maps.google.com/maps/api/staticmap?center=56.90807555%2C74.350685&zoom=12&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=124uNQ5_WXSW6B8LVnKTrrPUuLA;56.90807555;74.350685
628;Тверской филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Тверь (Тверская обл.), ул. Вагжанова, д. 7;academy@tver.ranepa.ru;(4822) 41-50-18, 41-50-17, 41-50-28, (961) 016-53-22;http://www.tver.ranepa.ru/;Гуманитарные,Экономические;https://www.google.com/maps/search/г. Тверь (Тверская обл.), ул. Вагжанова, д. 7;https://maps.google.com/maps/api/staticmap?center=56.853945%2C35.930979&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PwNFyJDMgOrPyacp11DoUK8k3_4;56.853945;35.930979
629;Театральный институт им. Бориса Щукина при Государственном академическом театре им. Евгения Вахтангова;г. Москва, Б. Николопесковский пер., д. 12А, стр. 1;priem-shuka@mail.ru;(499) 241-08-90 (приемная комиссия), 241-55-64 (учебная часть), (499) 241-56-44 (ректорат);http://www.htvs.ru;Вузы культуры;https://www.google.com/maps/search/г. Москва, Б. Николопесковский пер., д. 12А, стр. 1;https://maps.google.com/maps/api/staticmap?center=55.751702%2C37.5903909&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=5Mc3VLN9gClgqinoW4Bt-_FaXss;55.751702;37.5903909
630;Технологический университет;г. Королев (Московская обл.), ул. Гагарина, д. 42;fta@fta-mo.ru;(495) 516-99-46, (916) 701-88-80, 701-99-90;http://unitech-mo.ru;Авиационные,Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Технические,Транспортные,Юридические;https://www.google.com/maps/search/г. Королев (Московская обл.), ул. Гагарина, д. 42;https://maps.google.com/maps/api/staticmap?center=55.915372%2C37.819483&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=EhzHjKeT_53SJ_FfRWkBgPuSIV4;55.915372;37.819483
631;Тихоокеанский государственный медицинский университет;Владивосток, пр-т Острякова, 2;"mail@tgmu.ru; info@tgmu.ru";"(423) 242-97-78; (423) 245-17-18 (ПК)";http://tgmu.ru/;Биологические,Медицинские,Психологические;https://www.google.com/maps/search/Владивосток, пр-т Острякова, 2;https://maps.google.com/maps/api/staticmap?center=43.1292612%2C131.9024187&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kpvNS9NUQg8e7UvBr-i9IW8GiMo;43.1292612;131.9024187
632;Тольяттинская академия управления;"г. Тольятти, Приморский б-р, д. 25; Тольятти, пр-т Степана Разина, 99 (ПК)";"info@taom.ru; abitur@taom.ru (ПК)";"(8482) 60-71-00, 73-60-60; (8482) 555 - 044 (ПК)";https://taom.ru/;Гуманитарные,Дизайна,Экономические;"https://www.google.com/maps/search/г. Тольятти, Приморский б-р, д. 25; Тольятти, пр-т Степана Разина, 99 (ПК)";https://maps.google.com/maps/api/staticmap?center=53.51232455%2C49.28428335&zoom=14&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2PCXW6MPFV3mHLXRnRt79-cF1kM;53.51232455;49.28428335
633;Тольяттинский государственный университет;г. Тольятти (Самарская обл.), ул. Фрунзе, д. 2г;office@tltsu.ru;(8482) 53-92-47, 50-11-00;http://www.tltsu.ru;Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Спортивные,Строительные,Технические,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Тольятти (Самарская обл.), ул. Фрунзе, д. 2г;https://maps.google.com/maps/api/staticmap?center=53.513729%2C49.30357&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Vv6foNc-ldHNB7-7q195PLSMWA4;53.513729;49.30357
634;Томский государственный архитектурно-строительный университет;г. Томск (Томская обл.), Соляная пл., д. 2;rector@tsuab.ru;(3822) 65-39-30;http://www.tsuab.ru;Архитектурные,Биологические,Гуманитарные,Дизайна,Географические,Строительные,Нефтяные,Транспортные;https://www.google.com/maps/search/г. Томск (Томская обл.), Соляная пл., д. 2;https://maps.google.com/maps/api/staticmap?center=56.496221%2C84.958363&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=k-VTKrYgou6Y5v8VvuE5t1LL7WY;56.496221;84.958363
635;Томский государственный педагогический университет;г. Томск (Томская обл.), ул. Киевская , 60;rector@tspu.edu.ru;(3822) 52-17-95;http://www.tspu.edu.ru;Гуманитарные,Информационные,Экономические,Педагогические,Психологические;https://www.google.com/maps/search/г. Томск (Томская обл.), ул. Киевская , 60;https://maps.google.com/maps/api/staticmap?center=56.4740399%2C84.9764729&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZQ_fpCVPjgNzZIFjQr4GVuLGRag;56.4740399;84.9764729
636;Томский государственный университет систем управления и радиоэлектроники;г. Томск (Томская обл.), пр-т Ленина, д. 40;onir@main.tusur.ru;(3822) 90-01-00, 8(800) 775-90-25;http://www.tusur.ru;Биологические,Гуманитарные,Информационные,Экономические,Технические,Психологические,Транспортные,Юридические;https://www.google.com/maps/search/г. Томск (Томская обл.), пр-т Ленина, д. 40;https://maps.google.com/maps/api/staticmap?center=56.4740921%2C84.9497378&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bKt2qJhnuGA9KCUKOXoC0PjRD_s;56.4740921;84.9497378
